한국정보통신학회논문지,,,,
한국미생물학회지,,,,
한국해안해양공학회-학술대회논문집,,,,
복합신소재구조학회 논문집,,,,
대한건축학회논문집,,,,
셀메드,,,,
한국학교보건학회지,,,,
한국중재학회지-중재연구,,,,
한국양식학회지,,,,
한국전문물리치료학회지,,,,
한국표면공학회지,,,,
한국학교ㆍ지역보건교육학회지,,,,
한국강구조학회 논문집,,,,
지구물리와물리탐사,,,,
조선자연과학논문집,,,,
한국식생활문화학회지,,,,
대한두경부종양학회-학술대회논문집,,,,
한국문헌정보학회지,,,,
한국수산과학회지,,,,
농촌지도와개발,,,,
응용통계연구,,,,
KAPE누리,,,,
전기학회논문지,,,,
대한기관식도과학회-학술대회논문집,,,,
정보처리학회논문지C,,,,
한국전산유체공학회지,,,,
정보처리학회논문지D,,,,
한국환경과학회지,,,,
한국디지털건축인테리어학회논문집,,,,
전력전자학회지,,,,
고려인삼학회-학술대회논문집,,,,
한국건축시공학회-학술대회논문집,,,,
한국수자원학회논문집,,,,
소성가공,,,,
한국약용작물학회-학술대회논문집,,,,
한국수소및신에너지학회논문집,,,,
한국의사학회지,,,,
재무관리논총,,,,
한국포장학회지,,,,
한국지형공간정보학회지,,,,
보험의학회지,,,,
한국전자거래학회지,,,,
통상정보연구,,,,
대한산업공학회지,,,,
에너지공학,,,,
방재&안전,,,,
과학기술학연구,,,,
한국기술혁신학회-학술대회논문집,,,,
한국농촌간호학회지,,,,
한국해안해양공학회지,,,,
한국지구과학회지,,,,
물과 미래,,,,
한국발생생물학회-학술대회논문집,,,,
한국농업기계학회-학술대회논문집,,,,
한국CDE학회지,,,,
설비공학논문집,,,,
국제물리치료학회지,,,,
한국지열에너지학회논문집,,,,
한국재료학회지,,,,
한국고분자학회지-고분자과학과기술,,,,
광촉매기술,,,,
영재교육연구,,,,
한국작물학회-학술대회논문집,,,,
한국건설관리학회논문집,,,,
교육시설,,,,
정보처리학회논문지B,,,,
한국안광학회지,,,,
한국해양공학회지,,,,
소프트웨어공학소사이어티 논문지,,,,
대한본초학회지,,,,
교통기술과정책,,,,
대한통합의학회지,,,,
한국초전도학회-학술대회논문집,,,,
전기화학회지,,,,
지능정보통신,,,,
한국보건간호학회지,,,,
정보관리연구,,,,
한국연초학회지,,,,
한국정보처리학회-학술대회논문집,,,,
한국호스피스·완화의료학회지,,,,
기술혁신학회지,,,,
동국한의학연구소논문집,,,,
한국지반공학회지-지반,,,,
한국잔디학회-학술대회논문집,,,,
드라이브 ㆍ 컨트롤,,,,
한국화재소방학회논문지,,,,
대한기계학회논문집B,,,,
한국수자원학회-학술대회논문집,,,,
한국과학기술학회-학술대회논문집,,,,
인재니움,,,,
동아시아경상학회지,,,,
한국기계가공학회지,,,,
대한수학회지,,,,
한국수학사학회지,,,,
한국구조물진단유지관리공학회지,,,,
유기물자원화,,,,
교육녹색환경연구,,,,
생명과학회지,,,,
품질경영학회지,,,,
한국유가공학회-학술대회논문집,,,,
EDISON SW 활용 경진대회 논문집,,,,
한국농림기상학회-학술대회논문집,,,,
한국제4기학회지,,,,
한국가족자원경영학회-학술대회논문집,,,,
한국해양학회지-바다,,,,
한국신뢰성학회지-신뢰성응용연구,,,,
대한안전경영과학회지,,,,
전자공학회논문지CI,,,,
융합정보논문지,,,,
한국정보관리학회-학술대회논문집,,,,
한국도로학회지-도로,,,,
치위생과학회지,,,,
한국연소학회-학술대회논문집,,,,
한국정보과학회 언어공학연구회-학술대회논문집(한글 및 한국어 정보처리),,,,
분석과학,,,,
한국재료학회-학술대회논문집,,,,
한국정밀공학회지,,,,
한국시스템다이내믹스학회-학술대회논문집,,,,
한국어병학회지,,,,
대한족부족관절학회-학술대회논문집,,,,
자원환경지질,,,,
한국전자거래학회-학술대회논문집,,,,
한국도로학회-학술대회논문집,,,,
한국진공학회-학술대회논문집,,,,
전자공학회논문지,,,,
비파괴검사학회지,,,,
한국산림과학회지,,,,
한국마린엔지니어링학회-학술대회논문집,,,,
한국우주과학회-학술대회논문집(한국우주과학회보),,,,
수산해양기술연구,,,,
한국안전학회지,,,,
디지털융복합연구,,,,
농업과학연구,,,,
한국분무공학회지,,,,
지역연구,,,,
한국방재안전학회논문집,,,,
한국언어정보학회-학술대회논문집,,,,
대한디지털의료영상학회논문지,,,,
한국표면공학회-학술대회논문집,,,,
대한교통학회지,,,,
한국화재조사학회학술대회,,,,
한국항공우주학회지,,,,
한국감성과학회-학술대회논문집,,,,
한국레이저가공학회지,,,,
한국정보기술전략혁신학회지-정보학연구,,,,
한국추진공학회지,,,,
아시안잔디학회지,,,,
한국건축시공학회지,,,,
재활간호학회지,,,,
한국신뢰성학회-학술대회논문집,,,,
해양환경안전학회-학술대회논문집,,,,
대한지리학회지,,,,
동굴,,,,
한국음향학회지,,,,
한국의료질향상학회지,,,,
한국작물학회지,,,,
한국IT서비스학회지,,,,
한국직업건강간호학회지,,,,
대한환경공학회지,,,,
대한물리의학회지,,,,
한국생물환경조절학회-학술대회논문집,,,,
문화기술의 융합,,,,
대한두경부종양학회지,,,,
한국압력기기공학회 논문집,,,,
플랜트 저널,,,,
시스템엔지니어링학술지,,,,
한국게임학회지,,,,
교육시설 논문지,,,,
대한관절경학회지,,,,
대한전기학회-학술대회논문집,,,,
대한기계학회-학술대회논문집,,,,
한국철도학회-학술대회논문집,,,,
대한화장품학회지,,,,
대한장애인치과학회지,,,,
한국약용작물학회지,,,,
동아시아식생활학회-학술대회논문집,,,,
한국BIM학회 논문집,,,,
한국정보과학회-학술대회논문집,,,,
산경연구논집,,,,
로봇학회논문지,,,,
인터넷정보학회논문지,,,,
한국전산구조공학회논문집,,,,
한국빅데이터학회지,,,,
정신신체의학,,,,
환경영향평가,,,,
인삼문화,,,,
정보처리학회지,,,,
대한상한금궤의학회지,,,,
한국지반신소재학회논문집,,,,
대한의생명과학회지,,,,
한국조명전기설비학회지-조명전기설비,,,,
동서간호학연구지,,,,
한국지구물리탐사학회-학술대회논문집,,,,
한국동물생명공학회지,,,,
한국공간구조학회지,,,,
정보관리학회지,,,,
한국건설안전학회 논문집,,,,
산학경영연구,,,,
기술표준,,,,
한국어정보학회-학술대회논문집,,,,
한국공간정보시스템학회 논문지,,,,
재활복지공학회논문지,,,,
인터넷정보학회지,,,,
"자연, 터널 그리고 지하공간",,,,
대한전자공학회-학술대회논문집,,,,
한국항해항만학회-학술대회논문집,,,,
아세아태평양축산학회지,,,,
한국응용과학기술학회지,,,,
동의생리병리학회지,,,,
철도저널,,,,
핵의학기술,,,,
전기학회논문지P,,,,
한국임산에너지학회-학술대회논문집,,,,
대한기관식도과학회지,,,,
한국대기환경학회-학술대회논문집,,,,
한국입자에어로졸학회지,,,,
한국전기전자재료학회논문지,,,,
한국정보전자통신기술학회논문지,,,,
턱관절균형의학회지,,,,
한국병원경영학회지,,,,
한국산업보건학회지,,,,
경락경혈학회지,,,,
전력전자학회논문지,,,,
공업화학,,,,
한국전산유체공학회-학술대회논문집,,,,
한국암반공학회-학술대회논문집,,,,
한국인터넷방송통신학회논문지,,,,
한국자원식물학회-학술대회논문집,,,,
의학교육논단,,,,
한국생활과학회지,,,,
대한외상학회지,,,,
한국조사연구학회지-조사연구,,,,
한국산업융합학회 논문집,,,,
마이크로전자및패키징학회지,,,,
대한토목학회논문집,,,,
한국소음진동공학회논문집,,,,
융복합기술연구소 논문집,,,,
산업진흥연구,,,,
정보통신설비학회논문지,,,,
한국터널지하공간학회 논문집,,,,
접착 및 계면,,,,
고려인삼연구와산업,,,,
대한족부족관절학회지,,,,
대한수사과학회지,,,,
멤브레인,,,,
한국농촌건축학회논문집,,,,
한국마린엔지니어링학회지,,,,
해안과 해양,,,,
인간행동과 음악연구,,,,
한국건설순환자원학회지,,,,
한국컴퓨터정보학회-학술대회논문집,,,,
멤브레인뉴스,,,,
종양간호연구,,,,
제어로봇시스템학회지,,,,
한국GIS학회-학술대회논문집,,,,
한국물환경학회지,,,,
한국지하수토양환경학회지-지하수토양환경,,,,
지능정보연구,,,,
E2M - 전기 전자와 첨단 소재,,,,
생약학회지,,,,
한국지구과학회-학술대회논문집,,,,
유공압시스템학회-학술대회논문집,,,,
한국섬유공학회지,,,,
한국유통학회지-유통연구,,,,
기술혁신연구,,,,
대한음성언어의학회-학술대회논문집,,,,
한국생활과학회-학술대회논문집,,,,
한국가금학회지,,,,
대한전자공학회지,,,,
대한화학회지,,,,
한국한의학연구원논문집,,,,
패션정보와 기술,,,,
한국균학회소식-학술대회논문집,,,,
한국항공운항학회지,,,,
한국자원식물학회지,,,,
한국임상보건과학회지,,,,
대한구순구개열학회지,,,,
한국산학기술학회논문지,,,,
한국컴퓨터정보학회지,,,,
한국융합학회논문지,,,,
대한의용생체공학회-의공학회지,,,,
대한물리치료과학회지,,,,
정보화정책,,,,
한국방재학회-학술대회논문집,,,,
수산해양교육연구,,,,
대한전자공학회논문지SD,,,,
한국대기환경학회지,,,,
한국환경농학회지,,,,
대한감각통합치료학회지,,,,
산업공학,,,,
의료ㆍ복지 건축 - 한국의료복지건축학회 논문집,,,,
도시과학,,,,
한국농림기상학회지,,,,
한국환경농학회-학술대회논문집,,,,
대한수학회보,,,,
한국환경생태학회-학술대회논문집,,,,
한국소음진동공학회-학술대회논문집,,,,
트랜스-,,,,
한국화재소방학회-학술대회논문집,,,,
보건의료산업학회지,,,,
폴리머,,,,
대한임상전기생리학회지,,,,
대한전자공학회논문지SP,,,,
미술자료,,,,
한국축산시설환경학회지,,,,
유공압시스템학회논문집,,,,
한국가족자원경영학회지,,,,
한국치위생학회지,,,,
한국지반공학회-학술대회논문집,,,,
한국비블리아학회-학술대회논문집,,,,
한국광학회지,,,,
한국수정란이식학회지,,,,
열처리공학회지,,,,
한국미생물학회-학술대회논문집,,,,
한국해양환경ㆍ에너지학회지,,,,
사상체질의학회지,,,,
식물분류학회지,,,,
유전체소식지,,,,
한국지역사회생활과학회-학술대회논문집,,,,
중환자간호학회지,,,,
정보처리학회논문지A,,,,
한국산업정보학회논문지,,,,
한국시조학회지-시조학논총,,,,
한국구조물진단유지관리공학회 논문집,,,,
대한두개안면성형외과학회지,,,,
산업클러스터,,,,
한국측량학회-학술대회논문집,,,,
한국군사과학기술학회지,,,,
한국과 국제사회,,,,
한국생산제조학회지,,,,
한국경영과학회-학술대회논문집,,,,
경영과정보연구,,,,
한국발생생물학회지-발생과생식,,,,
한국균학회지,,,,
한국보육학회지,,,,
한국식생활문화학회-학술대회논문집,,,,
한국언어정보학회지-언어와정보,,,,
한국환경과학회-학술대회논문집,,,,
방사성폐기물학회지,,,,
대한정형도수물리치료학회지,,,,
한국통신학회논문지,,,,
자동차안전학회지,,,,
대한전자공학회논문지TC,,,,
한국시스템다이내믹스연구,,,,
방송공학회논문지,,,,
병원경영학회지,,,,
대한유전성대사질환학회지,,,,
정보과학회지,,,,
유통과학연구,,,,
전기의세계,,,,
한국농공학회논문집,,,,
한국정보시스템학회지-정보시스템연구,,,,
한국전자통신학회논문지,,,,
여성건강간호학회지,,,,
한국가축위생학회지,,,,
군사학연구,,,,
융합보안논문지,,,,
전력전자학회-학술대회논문집,,,,
한국방재학회 논문집,,,,
한국인구학,,,,
한국도서관정보학회지,,,,
의료법학,,,,
대한기계학회논문집A,,,,
한국시뮬레이션학회논문지,,,,
한국재난정보학회 논문집,,,,
한국해양바이오학회지,,,,
디지털산업정보학회논문지,,,,
기계저널,,,,
한국초지조사료학회지,,,,
한국음향학회-학술대회논문집,,,,
한국농공학회지,,,,
전산구조공학,,,,
한국보육지원학회지,,,,
지질공학,,,,
한국생명과학회-학술대회논문집,,,,
한국항해항만학회지,,,,
한국정보통신학회-학술대회논문집,,,,
한국경호경비학회-학술대회논문집,,,,
수산경영론집,,,,
수학,,,,
혜화의학회지,,,,
제어로봇시스템학회논문지,,,,
지적과 국토정보,,,,
축산식품과학과 산업,,,,
한국지리정보학회지,,,,
한국조사연구학회-학술대회논문집,,,,
한국연소학회지,,,,
한국정보과학회논문지-컴퓨팅의 실제 및 레터,,,,
한국가시화정보학회지,,,,
한국산학기술학회-학술대회논문집,,,,
농촌의학ㆍ지역보건,,,,
보존과학회지,,,,
박물관보존과학,,,,
생태와환경,,,,
한국자동차공학회논문집,,,,
자원리싸이클링,,,,
한국항행학회논문지,,,,
광물과산업,,,,
한국방재학회지,,,,
한국미생물·생명공학회지,,,,
한국융합신호처리학회논문지,,,,
한국의상디자인학회지,,,,
한국유기농업학회-학술대회논문집,,,,
해양환경안전학회지,,,,
환경위생공학,,,,
한국동력기계공학회지,,,,
부모자녀건강학회지,,,,
레드리본,,,,
한국정보과학회논문지-소프트웨어및응용,,,,
한국컴퓨터정보학회논문지,,,,
한국잠사곤충학회지,,,,
대한설비공학회-학술대회논문집,,,,
정보처리학회논문지-컴퓨터 및 통신 시스템,,,,
한국호스피스완화의료학회-학술대회논문집,,,,
한국CDE학회논문집,,,,
산업경영시스템학회지,,,,
한국간호교육학회지,,,,
한국추진공학회-학술대회논문집,,,,
한국해안·해양공학회논문집,,,,
충청수학회지,,,,
아태비즈니스연구,,,,
한국도로학회논문집,,,,
한국어류학회지,,,,
대한설비공학회지-설비저널,,,,
대한안전경영과학회-학술대회논문집,,,,
한국화재소방학회지,,,,
생물정신의학,,,,
한국진공학회지,,,,
한국학교수학회논문집,,,,
지열에너지저널,,,,
한국초전도저온공학회지-초전도와저온공학,,,,
정보와 통신,,,,
산업융합연구,,,,
대한수학회논문집,,,,
서비스연구,,,,
한국보건교육건강증진학회-학술대회논문집,,,,
한국정보디스플레이학회-학술대회논문집,,,,
한국유체기계학회 논문집,,,,
터널과지하공간,,,,
한국건설순환자원학회논문집,,,,
한국복지융합학회지,,,,
열린충남,,,,
한국결정성장학회지,,,,
전자공학회논문지 IE,,,,
아시아태평양코퍼스연구,,,,
